sample_key,x,y,cluster
20260124_140152,6.825363767874714,3.2714035941059354,0
20260126,4.240955806103949,-2.363701526956574,0
20260126_152828,-6.439146955206469,1.198637449665566,1
20260126_221217,-12.352162234747336,-11.158567552771766,2
20260126_230211,5.0814513162396215,0.854882211053717,0
20260127_204001,3.7454899325906363,-1.5206240975935972,0
20260128_130023,3.918751097834687,-1.3652067117796696,0
20260130_190152,4.205249634534776,-3.2918716935419,0
20260206_110122,-2.799889578656844,11.4706651904694,0
20260207_120524,-4.907204954815397,3.31509842006319,0
20260209_185324,-14.124004746042893,-1.9758792934093878,1
20260209_224413,8.258525385407351,-0.46156572821567227,0
20260211_220513,-13.626213880001103,5.149717113104399,3
20260215_212801,7.069982428112601,0.2673720996376377,0
20260216_202836,9.321824059135137,-3.0932013805301732,0
20260219_110938,1.5810289216365698,-0.29715809330110476,0
