sample_key,cluster
20260124_140152::task=task_001,1
20260124_140152::task=task_002,4
20260126::task=task_001,1
20260126_152828::task=task_001,2
20260126_221217::task=task_001,0
20260126_230211::task=task_001,0
20260126_230211::task=task_002,5
20260126_230211::task=task_003,1
20260127_204001::task=task_001,1
20260127_204001::task=task_002,0
20260128_130023::task=task_001,1
20260130_190152::task=task_001,0
20260130_190152::task=task_002,4
20260206_110122::task=task_001,2
20260206_110122::task=task_002,5
20260206_110122::task=task_003,2
20260207_120524::task=task_001,1
20260209_185324::task=task_001,0
20260209_224413::task=task_001,0
20260209_224413::task=task_002,0
20260209_224413::task=task_003,1
20260209_224413::task=task_004,0
20260209_224413::task=task_005,1
20260211_220513::task=task_001,0
20260215_212801::task=task_001,1
20260216_202836::task=task_001,1
20260216_202836::task=task_002,4
20260216_202836::task=task_003,3
20260219_110938::task=task_001,1
20260219_110938::task=task_002,0
